Time,weather
2021-08-14T23:36:00-04:00,33
2021-08-14T23:44:00-04:00,33
2021-08-14T23:52:00-04:00,30
2021-08-15T00:00:00-04:00,31
2021-08-15T00:08:00-04:00,32
2021-08-15T00:16:00-04:00,31
2021-08-15T00:24:00-04:00,30
2021-08-15T00:32:00-04:00,28
2021-08-15T00:40:00-04:00,29
2021-08-15T00:48:00-04:00,28
2021-08-15T00:56:00-04:00,27
2021-08-15T01:04:00-04:00,27
2021-08-15T01:12:00-04:00,24
2021-08-15T01:20:00-04:00,24
2021-08-15T01:28:00-04:00,23
2021-08-15T01:36:00-04:00,22
2021-08-15T01:44:00-04:00,23
2021-08-15T01:52:00-04:00,20
2021-08-15T02:00:00-04:00,20
2021-08-15T02:08:00-04:00,21
2021-08-15T02:16:00-04:00,20
2021-08-15T02:24:00-04:00,20
2021-08-15T02:32:00-04:00,20
2021-08-15T02:40:00-04:00,19
2021-08-15T02:48:00-04:00,19
2021-08-15T02:56:00-04:00,19
2021-08-15T03:04:00-04:00,19
2021-08-15T03:12:00-04:00,20
2021-08-15T03:20:00-04:00,20
2021-08-15T03:28:00-04:00,19
2021-08-15T03:36:00-04:00,20
2021-08-15T03:44:00-04:00,19
2021-08-15T03:52:00-04:00,20
2021-08-15T04:00:00-04:00,21
2021-08-15T04:08:00-04:00,22
2021-08-15T04:16:00-04:00,22
2021-08-15T04:24:00-04:00,23
2021-08-15T04:32:00-04:00,25
2021-08-15T04:40:00-04:00,25
2021-08-15T04:48:00-04:00,26
2021-08-15T04:56:00-04:00,28
2021-08-15T05:04:00-04:00,29
2021-08-15T05:12:00-04:00,25
2021-08-15T05:20:00-04:00,26
2021-08-15T05:28:00-04:00,28
2021-08-15T05:36:00-04:00,30
2021-08-15T05:44:00-04:00,31
2021-08-15T05:52:00-04:00,34
2021-08-15T06:00:00-04:00,44
2021-08-15T06:08:00-04:00,52
2021-08-15T06:16:00-04:00,60
2021-08-15T06:24:00-04:00,70
2021-08-15T06:32:00-04:00,79
2021-08-15T06:40:00-04:00,91
2021-08-15T06:48:00-04:00,89
2021-08-15T06:56:00-04:00,97
2021-08-15T07:04:00-04:00,94
2021-08-15T07:12:00-04:00,96
2021-08-15T07:20:00-04:00,98
2021-08-15T07:28:00-04:00,100
2021-08-15T07:36:00-04:00,96
2021-08-15T07:44:00-04:00,95
2021-08-15T07:52:00-04:00,90
2021-08-15T08:00:00-04:00,92
2021-08-15T08:08:00-04:00,90
2021-08-15T08:16:00-04:00,90
2021-08-15T08:24:00-04:00,83
2021-08-15T08:32:00-04:00,81
2021-08-15T08:40:00-04:00,78
2021-08-15T08:48:00-04:00,78
2021-08-15T08:56:00-04:00,74
2021-08-15T09:04:00-04:00,73
2021-08-15T09:12:00-04:00,73
2021-08-15T09:20:00-04:00,70
2021-08-15T09:28:00-04:00,70
2021-08-15T09:36:00-04:00,65
2021-08-15T09:44:00-04:00,64
2021-08-15T09:52:00-04:00,61
2021-08-15T10:00:00-04:00,60
2021-08-15T10:08:00-04:00,55
2021-08-15T10:16:00-04:00,55
2021-08-15T10:24:00-04:00,51
2021-08-15T10:32:00-04:00,49
2021-08-15T10:40:00-04:00,48
2021-08-15T10:48:00-04:00,47
2021-08-15T10:56:00-04:00,46
2021-08-15T11:04:00-04:00,45
2021-08-15T11:12:00-04:00,41
2021-08-15T11:20:00-04:00,41
2021-08-15T11:28:00-04:00,40
2021-08-15T11:36:00-04:00,38
2021-08-15T11:44:00-04:00,39
2021-08-15T11:52:00-04:00,38
2021-08-15T12:00:00-04:00,36
2021-08-15T12:08:00-04:00,38
2021-08-15T12:16:00-04:00,36
2021-08-15T12:24:00-04:00,35
2021-08-15T12:32:00-04:00,34
2021-08-15T12:40:00-04:00,34
2021-08-15T12:48:00-04:00,33
2021-08-15T12:56:00-04:00,33
2021-08-15T13:04:00-04:00,32
2021-08-15T13:12:00-04:00,32
2021-08-15T13:20:00-04:00,32
2021-08-15T13:28:00-04:00,31
2021-08-15T13:36:00-04:00,31
2021-08-15T13:44:00-04:00,31
2021-08-15T13:52:00-04:00,32
2021-08-15T14:00:00-04:00,32
2021-08-15T14:08:00-04:00,32
2021-08-15T14:16:00-04:00,33
2021-08-15T14:24:00-04:00,32
2021-08-15T14:32:00-04:00,33
2021-08-15T14:40:00-04:00,32
2021-08-15T14:48:00-04:00,32
2021-08-15T14:56:00-04:00,31
2021-08-15T15:04:00-04:00,31
2021-08-15T15:12:00-04:00,30
